ip.addr,ip.dst,tcp.dstport,ip.len,frame.time_delta_displayed
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.000821000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.000813000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.000813000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.000811000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.000800000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.000799000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.000798000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.000797000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.000796000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.000795000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.000794000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.000791000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.000789000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.000784000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.000784000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.000783000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.000782000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.000770000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.000765000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.000763000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.000761000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.000760000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.000758000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.000747000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.000742000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.000740000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.000737000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.000735000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.000733000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.000733000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.000728000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.000720000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.000718000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.000717000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.000717000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.000715000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.000715000
